index,name,name2,pos,team,sum,w,gaa,sp,wins,goalAgainstAverage,savePercentage,timeOnIce,ot,shutouts,ties,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,games,gamesStarted,shotsAgainst,goalsAgainst,timeOnIcePerGame,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
8481611,Pyotr Kochetkov,"Kochetkov, Pyotr",G,CAR,-0.09430806190507718,-0.7454311577896509,0.33137772633816787,0.3197453695464058,3,2.4226,0.902,148:36,0,0,0,0,55,8,2,45,2,49,10,3,2,61,6,49:32,80.0,100.0,91.83673469387756
8475683,Sergei Bobrovsky,"Bobrovsky, Sergei",G,FLA,2.85057404132908,2.3609314804591834,0.12813625255687588,0.36150630831302083,39,2.667,0.913,3082:10,3,3,0,7,1429,231,42,1156,47,1262,257,54,53,1566,137,57:04,89.88326848249028,89.36170212765957,91.60063391442155
8479312,Alex Lyon,"Lyon, Alex",G,FLA,-0.667053570833112,-0.9180068599145861,-0.09157077433763085,0.3425240634191049,1,2.9312,0.908,122:49,1,0,0,0,59,10,2,47,2,52,11,2,2,65,6,61:24,90.9090909090909,100.0,90.38461538461539
8481519,Spencer Knight,"Knight, Spencer",G,FLA,1.0013034607246478,0.6351744592098311,0.02360493809571197,0.3425240634191049,19,2.7927,0.908,1740:14,3,2,0,9,795,138,19,638,22,691,163,32,27,876,81,54:22,84.66257668711657,86.36363636363636,92.32995658465991
8470880,Brian Elliott,"Elliott, Brian",G,TBL,0.6310486588119781,-0.0551283492899099,0.3284671487676503,0.35770985933423766,11,2.4261,0.912,1063:25,3,1,0,4,446,72,11,363,12,395,82,19,17,489,43,55:58,87.8048780487805,91.66666666666666,91.89873417721519
8476883,Andrei Vasilevskiy,"Vasilevskiy, Andrei",G,TBL,3.010070206925201,2.3609314804591834,0.2762430712166471,0.3728956552493704,39,2.4889,0.916,3760:45,5,2,0,18,1712,235,56,1421,58,1537,273,63,63,1868,156,59:41,86.08058608058609,96.55172413793103,92.45283018867924
8475311,Darcy Kuemper,"Kuemper, Darcy",G,WSH,2.8132338829322046,2.188355778334248,0.23300020445466998,0.3918779001432863,37,2.5409,0.921,3258:45,4,5,0,12,1616,242,43,1331,44,1435,275,57,57,1754,138,57:10,88.0,97.72727272727273,92.75261324041811
8479292,Charlie Lindgren,"Lindgren, Charlie",G,WSH,1.2930222202405344,-0.5728554556647156,1.3335311635469864,0.5323465123582636,5,1.2175,0.958,246:25,0,0,0,0,113,12,3,98,3,103,12,5,4,118,5,49:17,100.0,100.0,95.14563106796116
8471774,Alex Stalock,"Stalock, Alex",G,CHI,-5.270610115601635,-1.0042947109770537,-4.145672692632139,-0.12064271199244288,0,7.8063,0.786,46:07,0,0,0,1,22,2,1,19,1,25,2,1,1,28,6,46:07,100.0,100.0,76.0
8475852,Petr Mrazek,"Mrazek, Petr",G,CHI,-0.13327269280315174,0.03115950177255772,-0.43102727841915073,0.26659508384344127,12,3.3394,0.888,1042:07,0,0,0,6,462,57,12,393,13,441,66,20,18,520,58,52:06,86.36363636363636,92.3076923076923,89.1156462585034
8482821,Arvid Soderblom,"Soderblom, Arvid",G,CHI,-2.6494888503845497,-1.0042947109770537,-1.8168779987813577,0.1716838593738617,0,5.0059,0.863,155:49,0,0,0,2,82,22,2,58,3,67,25,3,2,95,13,51:56,88.0,66.66666666666666,86.56716417910447
8477968,Alex Nedeljkovic,"Nedeljkovic, Alex",G,DET,0.634408656456898,0.7214623102722987,-0.4030025743830232,0.31594892056762264,20,3.3057,0.901,3230:48,9,4,0,24,1618,191,46,1381,53,1521,222,59,52,1796,178,54:45,86.03603603603604,86.79245283018868,90.79552925706771
8478024,Ville Husso,"Husso, Ville",G,DET,1.7519748725695017,1.1529015655846369,0.21478830479914499,0.3842850021857199,25,2.5628,0.919,2341:14,6,2,0,7,1136,127,35,974,36,1057,143,40,38,1236,100,58:31,88.81118881118881,97.22222222222221,92.14758751182592
8477424,Juuse Saros,"Saros, Juuse",G,NSH,2.8056383027739358,2.274643629396716,0.15050612017028317,0.38048855320693675,38,2.6401,0.918,3931:42,3,4,0,25,1934,321,58,1555,62,1678,367,67,67,2107,173,58:40,87.46594005449592,93.54838709677419,92.66984505363529
8478971,Connor Ingram,"Ingram, Connor",G,NSH,-1.4273736204714755,-0.9180068599145861,-0.741793803591282,0.23242704303439263,1,3.7131,0.879,177:45,0,0,0,2,80,17,4,59,4,69,18,3,3,91,11,59:15,94.44444444444444,100.0,85.5072463768116
8480947,Kevin Lankinen,"Lankinen, Kevin",G,NSH,-0.6030834616985853,-0.3139919024773128,-0.5670759900010633,0.27798443077979085,8,3.503,0.891,1815:35,6,0,0,15,867,109,26,732,28,815,130,32,29,973,106,56:44,83.84615384615385,92.85714285714286,89.8159509202454
8471306,Thomas Greiss,"Greiss, Thomas",G,STL,-0.5619827064018916,-0.14141620035237754,-0.6985509368293049,0.27798443077979085,10,3.6611,0.891,1507:44,1,0,0,15,750,81,19,650,21,718,103,31,28,842,92,48:38,78.64077669902912,90.47619047619048,90.5292479108635
8476412,Jordan Binnington,"Binnington, Jordan",G,STL,0.605532326956379,0.5488866081473635,-0.25930320175860705,0.31594892056762264,18,3.1329,0.901,2144:57,4,2,0,14,1023,108,32,883,35,975,125,37,37,1135,112,57:58,86.4,91.42857142857143,90.56410256410257
8480981,Joel Hofer,"Hofer, Joel",G,STL,-0.8912741135245863,-0.9180068599145861,-0.20949074562317593,0.23622349201317583,1,3.073,0.88,117:09,0,0,0,1,44,9,2,33,3,36,11,2,2,50,6,58:34,81.81818181818183,66.66666666666666,91.66666666666666
8474593,Jacob Markstrom,"Markstrom, Jacob",G,CGY,3.0804791817224175,2.188355778334248,0.49644905426609964,0.39567434912206945,37,2.2241,0.922,3695:50,9,9,0,15,1617,214,57,1346,58,1453,243,63,63,1754,137,58:39,88.06584362139918,98.27586206896551,92.63592567102546
8478435,Dan Vladar,"Vladar, Dan",G,CGY,0.5105777498018574,0.11744735283502535,0.058199231505293506,0.33493116546153856,13,2.7511,0.906,1243:08,2,2,0,6,551,75,13,463,15,505,88,23,19,608,57,54:02,85.22727272727273,86.66666666666667,91.68316831683168
8481692,Dustin Wolf,"Wolf, Dustin",G,CGY,-1.7629499590017221,-1.0042947109770537,2.3459963612913532,-3.1046516093160217,0,0.0,0.0,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
8477992,Jonas Johansson,"Johansson, Jonas",G,COL,-2.1515062875399433,-0.7454311577896509,-1.551183846272672,0.14510871652237944,3,4.6864,0.856,486:31,1,0,0,4,226,19,12,194,12,229,23,11,8,264,38,44:13,82.6086956521739,100.0,84.71615720524017
