index,name,name2,pos,team,sum,g,a,_pim,ppp,gwg,_shots,_hits,blocks,goals,assists,pim,powerPlayPoints,gameWinningGoals,shots,hits,blocked,timeOnIce,games,powerPlayGoals,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame,w,gaa,sp,wins,goalAgainstAverage,savePercentage,ot,shutouts,ties,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
8481518,Nolan Foote,"Foote, Nolan",LW,NJD,-7.008270539458169,-0.6568655236279196,-1.0260767176290386,-1.050245715129136,-0.6727787872728,-0.6301260378126045,-1.1411061860131433,-0.915394107784136,-0.9156774641893913,3.0,1.0,0.0,0.0,0.0,10.0,8.0,1.0,72:34,7,0.0,03:48,68:34,0,0.0,30.0,0.0,0.0,0.0,00:12,3.0,4.0,100.0,10:22,09:47,00:01,00:32,,,,,,,,,,,,,,,,,,,,,,,
8481537,Nikita Okhotiuk,"Okhotiuk, Nikita",D,NJD,-7.065266766888563,-0.8839301490795461,-1.0260767176290386,-0.9584925793300227,-0.6727787872728,-0.6301260378126045,-1.215583979039642,-0.7626010525355171,-0.9156774641893913,1.0,1.0,2.0,0.0,0.0,5.0,16.0,1.0,75:26,5,0.0,00:10,74:04,2,0.0,20.0,0.0,0.0,0.0,01:12,-2.0,2.0,94.0,15:05,14:48,00:14,00:02,,,,,,,,,,,,,,,,,,,,,,,
8477425,Miles Wood,"Wood, Miles",LW,NJD,-7.414742228196015,-0.9974624618053594,-1.0989958752270415,-0.8667394435309095,-0.6727787872728,-0.6301260378126045,-1.2602706548555416,-0.9726915035023681,-0.9156774641893913,0.0,0.0,4.0,0.0,0.0,2.0,5.0,1.0,44:17,3,0.0,03:49,39:56,4,0.0,0.0,0.0,0.0,0.0,00:32,-2.0,0.0,59.0,14:45,13:18,00:10,01:16,,,,,,,,,,,,,,,,,,,,,,,
8480054,Reilly Walsh,"Walsh, Reilly",D,NJD,-7.593344863465851,-0.9974624618053594,-1.0260767176290386,-1.050245715129136,-0.6727787872728,-0.6301260378126045,-1.2602706548555416,-1.0681871630327548,-0.8881973259286164,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,14:23,1,0.0,00:59,13:24,0,0.0,0.0,0.0,0.0,0.0,00:00,0.0,1.0,20.0,14:23,13:24,00:00,00:59,,,,,,,,,,,,,,,,,,,,,,,
8481740,Tyce Thompson,"Thompson, Tyce",RW,NJD,-7.66813047516795,-0.9974624618053594,-1.0989958752270415,-1.050245715129136,-0.6727787872728,-0.6301260378126045,-1.2453750962502417,-1.0299888992206,-0.9431576024501662,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,28:50,2,0.0,00:15,27:15,0,100.0,0.0,0.0,0.0,0.0,01:20,0.0,0.0,41.0,14:25,13:37,00:40,00:07,,,,,,,,,,,,,,,,,,,,,,,
8480225,Jack Dugan,"Dugan, Jack",LW,NJD,-7.7510154147960035,-0.9974624618053594,-1.0989958752270415,-1.050245715129136,-0.6727787872728,-0.6301260378126045,-1.290061772066141,-1.0681871630327548,-0.9431576024501662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00,0,0.0,00:00,00:00,0,0.0,0.0,0.0,0.0,0.0,00:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8477970,Vitek Vanecek,"Vanecek, Vitek",G,NJD,3.148898322693613,,,,,,,,,,,,,,,,,2317:23,42,,,,,,,,,,,,,,55:10,,,,1.5126229434376846,0.89302804327407,0.7432473359818585,20.0,2.6668,0.908,6.0,4.0,0.0,12.0,1014.0,128.0,37.0,849.0,40.0,929.0,148.0,39.0,1117.0,103.0,86.48648648648648,92.5,91.3885898815931
8482076,Nico Daws,"Daws, Nico",G,NJD,0.7876745248268581,,,,,,,,,,,,,,,,,1271:32,25,,,,,,,,,,,,,,50:51,,,,0.1857607123519964,0.3563767461237105,0.24553706635115116,10.0,3.1144,0.893,1.0,0.0,0.0,11.0,551.0,51.0,13.0,487.0,15.0,536.0,66.0,23.0,617.0,66.0,77.27272727272727,86.66666666666667,90.85820895522389
8473541,Jonathan Bernier,"Bernier, Jonathan",G,NJD,0.357564498310997,,,,,,,,,,,,,,,,,510:06,10,,,,,,,,,,,,,,51:00,,,,-0.6103566262994166,0.42375789648083795,0.5441632281295756,4.0,3.0582,0.902,1.0,0.0,0.0,4.0,238.0,36.0,10.0,192.0,11.0,209.0,44.0,8.0,264.0,26.0,81.81818181818183,90.9090909090909,91.86602870813397
8478406,Mackenzie Blackwood,"Blackwood, Mackenzie",G,NJD,0.2937741164052448,,,,,,,,,,,,,,,,,1399:03,25,,,,,,,,,,,,,,55:57,,,,0.05307448924342757,0.028343245452713217,0.212356381709104,9.0,3.388,0.892,4.0,2.0,0.0,10.0,652.0,63.0,13.0,576.0,17.0,643.0,71.0,24.0,731.0,79.0,88.73239436619718,76.47058823529412,89.5800933125972
8481033,Akira Schmid,"Schmid, Akira",G,NJD,-4.587911462236702,,,,,,,,,,,,,,,,,235:59,6,,,,,,,,,,,,,,39:19,,,,-1.1411015187336917,-1.7015059313313323,-1.7453040121716783,0.0,4.8308,0.833,0.0,0.0,0.0,4.0,95.0,4.0,3.0,88.0,5.0,104.0,5.0,4.0,114.0,19.0,80.0,60.0,84.61538461538461
